Timestamp,Algorithm,Seed,Hyperparameters,Mean Reward,Std Reward,Training Time
2024-04-17 00:15:45,DQN,112,"{'learning_rate': 0.0021189613484233353, 'gamma': 0.9123946927523799, 'buffer_size': 7655, 'batch_size': 207, 'train_freq': 8, 'target_update_interval': 2928, 'exploration_fraction': 0.3672445063064184, 'exploration_final_eps': 0.07552838354008079, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",92.0,360.7730588611073,340.71193861961365
2024-04-17 00:18:57,DQN,178,"{'learning_rate': 0.00431213297692004, 'gamma': 0.9243861110552188, 'buffer_size': 7099, 'batch_size': 211, 'train_freq': 21, 'target_update_interval': 2384, 'exploration_fraction': 0.45274366215574136, 'exploration_final_eps': 0.06769880437222722, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",138.8,20.5367962447895,191.9123752117157
2024-04-17 00:23:13,DQN,588,"{'learning_rate': 0.001042736615582399, 'gamma': 0.8995930812943608, 'buffer_size': 6560, 'batch_size': 181, 'train_freq': 13, 'target_update_interval': 3736, 'exploration_fraction': 0.18065920674516162, 'exploration_final_eps': 0.05374722187218023, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",126.8,189.06654913019383,254.88477754592896
2024-04-17 00:26:21,DQN,629,"{'learning_rate': 0.0017920115928750878, 'gamma': 0.8632412425494662, 'buffer_size': 8036, 'batch_size': 189, 'train_freq': 20, 'target_update_interval': 412, 'exploration_fraction': 0.11329708643250644, 'exploration_final_eps': 0.09635111728839249, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",209.6,33.25417267050858,187.7367525100708
2024-04-17 00:30:14,DQN,663,"{'learning_rate': 0.0013117124355786819, 'gamma': 0.847616680712119, 'buffer_size': 6743, 'batch_size': 232, 'train_freq': 27, 'target_update_interval': 2095, 'exploration_fraction': 0.14891464798371773, 'exploration_final_eps': 0.04630500802638371, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",129.8,286.4621440958648,231.5827991962433
2024-04-17 00:32:35,DQN,384,"{'learning_rate': 0.004208299493123833, 'gamma': 0.883532717355563, 'buffer_size': 7394, 'batch_size': 84, 'train_freq': 41, 'target_update_interval': 4655, 'exploration_fraction': 0.22391902631909685, 'exploration_final_eps': 0.07358455333317675, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",177.0,75.96314896053217,140.86340928077698
2024-04-17 00:35:08,DQN,607,"{'learning_rate': 0.0008392455003578276, 'gamma': 0.9022278354268397, 'buffer_size': 9092, 'batch_size': 141, 'train_freq': 33, 'target_update_interval': 1606, 'exploration_fraction': 0.4188939274529487, 'exploration_final_eps': 0.03116816008262322, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",128.8,43.296189208751386,152.17811965942383
2024-04-17 00:38:44,DQN,897,"{'learning_rate': 2.1101945964725416e-05, 'gamma': 0.9489054324231878, 'buffer_size': 7217, 'batch_size': 173, 'train_freq': 28, 'target_update_interval': 1902, 'exploration_fraction': 0.35030884101396453, 'exploration_final_eps': 0.0807284348074996, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",24.4,159.62531127612564,215.40022087097168
2024-04-17 00:41:27,DQN,494,"{'learning_rate': 1.4176787103804783e-05, 'gamma': 0.9356598932842737, 'buffer_size': 7725, 'batch_size': 153, 'train_freq': 35, 'target_update_interval': 2457, 'exploration_fraction': 0.32976279193912783, 'exploration_final_eps': 0.07786501451268155, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",380.4,32.481379281058864,162.5832278728485
2024-04-17 00:45:33,DQN,390,"{'learning_rate': 1.3683808540534514e-05, 'gamma': 0.9287770991213363, 'buffer_size': 7700, 'batch_size': 127, 'train_freq': 17, 'target_update_interval': 2420, 'exploration_fraction': 0.38334299891027096, 'exploration_final_eps': 0.06251223542235644, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",-68.0,268.2856686444507,244.68589901924133
